Project Cost,Contractor,Project Status
43000,SUNATION SOLAR SYSTEMS INC.,Complete
68000,,Complete
16934,"ETM Solar Works, Inc.",Complete
45510,,Complete
86346,,Complete
15200,"SUNRUN, INC",Complete
11925,"SOLAR INTEGRATED FUND I, LLC",Complete
39599,,Complete
33547,VIVINT SOLAR,Complete
78926,,Complete
55714,COOPER ELECTRIC,Complete
27836,VIVINT SOLAR,Complete
49000,"BLUE SKIES SOLAR,LLC",Complete
70070,VIVINT SOLAR,Complete
95932,ELDOR CONTRACTING CORP,Complete
24796,VIVINT SOLAR,Complete
31000,,Complete
24772.1,,Complete
53168,SUNPOWER REBATE PROGRAM,Complete
16485,"SUNGEVITY DEVELOPMENT, LLC",Complete
25791,SUNPOWER REBATE PROGRAM,Complete
67500,,Complete
50872,VIVINT SOLAR,Complete
27070,EMPOWER CES LLC,Complete
40475,,Complete
33495,"SUNRUN, INC",Complete
796411,"Solar Energy Systems, LLC",Complete
1830,,Complete
37485,VIVINT SOLAR,Complete
52000,SUNWIZE TECHNOLOGIES,Complete
44930,ASTRUM SOLAR INC,Complete
22000,TRINITY SOLAR,Complete
60750,,Complete
78707,,Complete
42055,,Complete
53664,UR SOLAR POWER LLC,Complete
69696,,Complete
29988,SOLARCITY CORPORATION,Complete
,,Complete
34451,YOU SAVE GREEN INC,Complete
22385,"SUNRUN, INC",Complete
44675,SUNPOWER REBATE PROGRAM,Complete
19425.88,"KILOWATT SYSTEMS, INC",Complete
69133.48,"Renovus Energy, Inc",Complete
169132,Hudson Valley Clean Energy,Complete
41446,"ETM Solar Works, Inc.",Complete
41751.36,SUNPOWER REBATE PROGRAM,Complete
24480,SOLARCITY CORPORATION,Complete
65800,,Complete
30139.2,"Renovus Energy, Inc",Complete
57600,,Complete
31181,YOU SAVE GREEN INC,Complete
68554,VIVINT SOLAR,Complete
50862,Triangle Electrical Systems,Complete
11668,VIVINT SOLAR,Complete
26066,SUNATION SOLAR SYSTEMS INC.,Complete
53318,"GO SOLAR GRID TIE SYSTEMS, INC.",Complete
56227,VIVINT SOLAR,Complete
31142,Hudson Valley Clean Energy,Complete
21750,"SUNRUN, INC",Complete
23401,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
2450,,Complete
50996,MERCURY SOLAR SYSTEMS,Complete
46556,COOPER ELECTRIC,Complete
5000,,Complete
187986,WESCO DISTRIBUTION INC,Complete
18500,,Complete
39590,,Complete
67500,,Complete
33547,VIVINT SOLAR,Complete
305040,Hudson Valley Clean Energy,Complete
78624,,Complete
39000,SUNPOWER REBATE PROGRAM,Complete
56885,VIVINT SOLAR,Complete
204672,BEST ENERGY POWER,Complete
42786,SUNPOWER REBATE PROGRAM,Complete
45793,GREENLOGIC LLC,Complete
51562.5,SUNATION SOLAR SYSTEMS INC.,Complete
82500,"Solar & Wind FX, Inc.",Complete
29688,"Earthsponse, LLC",Complete
14920,"groSolar (Global Resource Options, Inc.)",Complete
32415.82,"SUNRUN, INC",Complete
29988,"MONTE ROSA SOLAR, LLC",Complete
25129.6,"Renovus Energy, Inc",Complete
38823,VIVINT SOLAR,Complete
59318,SUNPOWER REBATE PROGRAM,Complete
69550,,Complete
26254,VIVINT SOLAR,Complete
39200,R & B QUALITY ELECTRIC,Complete
